"SourceRoot","RelativePath","FileName","Extension","SizeBytes","Category","LayerCandidate","FunctionalRole","ContainsArabicText","MissingFromActiveByName","SameHashAsActiveWorkspace","SameHashAsActiveCompiled","NamespaceCount","Namespaces","TypeCount","Types","MethodLikeMemberCount","UsingCount"
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/_rels/.rels",".rels",".rels","735","Reference Artifact","Verification","Reference artifact retained for future analysis.","False","False","False","False","0","","0","","0","0"
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/[Content_Types].xml","[Content_Types].xml",".xml","2245","Configuration/Data","Verification","Original configuration or data artifact used to preserve runtime assumptions.","False","True","False","False","0","","0","","0","0"
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/banner.png","banner.png",".png","282375","Visual Asset","Verification","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/docProps/app.xml","app.xml",".xml","1104","Configuration/Data","Verification","Original configuration or data artifact used to preserve runtime assumptions.","False","True","False","False","0","","0","","0","0"
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/docProps/core.xml","core.xml",".xml","814","Configuration/Data","Data/Core Layer","Original configuration or data artifact used to preserve runtime assumptions.","False","True","False","False","0","","0","","0","0"
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/docProps/custom.xml","custom.xml",".xml","384","Configuration/Data","Verification","Original configuration or data artifact used to preserve runtime assumptions.","False","True","False","False","0","","0","","0","0"
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/docs/coder01-gap-analysis.md","coder01-gap-analysis.md",".md","3063","Documentation/Requirements","Verification","Original documentation, requirements, analysis, or spreadsheet evidence.","False","True","False","False","0","","0","","0","0"
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/docs/diebold-status-reference-extracted.md","diebold-status-reference-extracted.md",".md","10190","Documentation/Requirements","Verification","Original documentation, requirements, analysis, or spreadsheet evidence.","False","True","False","False","0","","0","","0","0"
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/docs/ejlive-debug-log-analysis.md","ejlive-debug-log-analysis.md",".md","6045","Documentation/Requirements","Verification","Original documentation, requirements, analysis, or spreadsheet evidence.","False","True","False","False","0","","0","","0","0"
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/docs/ejlive-excel-requirements-analysis.md","ejlive-excel-requirements-analysis.md",".md","5926","Documentation/Requirements","Verification","Original documentation, requirements, analysis, or spreadsheet evidence.","False","True","False","False","0","","0","","0","0"
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/docs/ejlive-mergedtrace-analysis.md","ejlive-mergedtrace-analysis.md",".md","4358","Documentation/Requirements","Verification","Original documentation, requirements, analysis, or spreadsheet evidence.","False","True","False","False","0","","0","","0","0"
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/docs/ejlive-monitoring-backlog.md","ejlive-monitoring-backlog.md",".md","3734","Documentation/Requirements","Verification","Original documentation, requirements, analysis, or spreadsheet evidence.","False","True","False","False","0","","0","","0","0"
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/docs/ejlive-multi-vendor-log-scope.md","ejlive-multi-vendor-log-scope.md",".md","2584","Documentation/Requirements","Verification","Original documentation, requirements, analysis, or spreadsheet evidence.","False","True","False","False","0","","0","","0","0"
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/docs/ejlive-ncr-deep-analysis.md","ejlive-ncr-deep-analysis.md",".md","3832","Documentation/Requirements","Verification","Original documentation, requirements, analysis, or spreadsheet evidence.","False","True","False","False","0","","0","","0","0"
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/docs/ejlive-root-vendor-analysis.md","ejlive-root-vendor-analysis.md",".md","5881","Documentation/Requirements","Verification","Original documentation, requirements, analysis, or spreadsheet evidence.","False","True","False","False","0","","0","","0","0"
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/docs/ejlive-xfs-research-requirements.md","ejlive-xfs-research-requirements.md",".md","8425","Documentation/Requirements","Data/Core Layer","Original documentation, requirements, analysis, or spreadsheet evidence.","False","True","False","False","0","","0","","0","0"
