"Path","Status","ActiveReplacement","Reason"
"src/EJLive.Client.WinForms/Agent/AgentBootstrapper.cs","ReferenceOnlyCovered","UnifiedClientServiceSupervisor + ClientStartupPlanner + WindowsStartupService","Agent, tray, boot, network monitor, screenshot, time sync, and backup behavior is active through the unified supervisor/current client runtime."
"src/EJLive.Client.WinForms/Agent/AgentTrayContext.cs","ReferenceOnlyCovered","UnifiedClientServiceSupervisor + ClientStartupPlanner + WindowsStartupService","Agent, tray, boot, network monitor, screenshot, time sync, and backup behavior is active through the unified supervisor/current client runtime."
"src/EJLive.Client.WinForms/Agent/AutoAdminSetup.cs","ReferenceOnlyCovered","UnifiedClientServiceSupervisor + ClientStartupPlanner + WindowsStartupService","Agent, tray, boot, network monitor, screenshot, time sync, and backup behavior is active through the unified supervisor/current client runtime."
"src/EJLive.Client.WinForms/Agent/BootNotifier.cs","ReferenceOnlyCovered","UnifiedClientServiceSupervisor + ClientStartupPlanner + WindowsStartupService","Agent, tray, boot, network monitor, screenshot, time sync, and backup behavior is active through the unified supervisor/current client runtime."
"src/EJLive.Client.WinForms/Agent/LogBackupScheduler.cs","ReferenceOnlyCovered","UnifiedClientServiceSupervisor + ClientStartupPlanner + WindowsStartupService","Agent, tray, boot, network monitor, screenshot, time sync, and backup behavior is active through the unified supervisor/current client runtime."
"src/EJLive.Client.WinForms/Agent/NetworkMonitor.cs","ReferenceOnlyCovered","UnifiedClientServiceSupervisor + ClientStartupPlanner + WindowsStartupService","Agent, tray, boot, network monitor, screenshot, time sync, and backup behavior is active through the unified supervisor/current client runtime."
"src/EJLive.Client.WinForms/Agent/ScreenshotScheduler.cs","ReferenceOnlyCovered","UnifiedClientServiceSupervisor + ClientStartupPlanner + WindowsStartupService","Agent, tray, boot, network monitor, screenshot, time sync, and backup behavior is active through the unified supervisor/current client runtime."
"src/EJLive.Client.WinForms/Agent/TimeSyncScheduler.cs","ReferenceOnlyCovered","UnifiedClientServiceSupervisor + ClientStartupPlanner + WindowsStartupService","Agent, tray, boot, network monitor, screenshot, time sync, and backup behavior is active through the unified supervisor/current client runtime."
"src/EJLive.Client.WinForms/Services/AdvancedJournalProcessor.cs","ReferenceOnlyCovered","NetworkEngine + UnifiedRemoteCommandOrchestrator","Advanced client network and command behavior is active through the unified network/command services."
"src/EJLive.Client.WinForms/Services/AdvancedNetworkManager.cs","ReferenceOnlyCovered","NetworkEngine + UnifiedRemoteCommandOrchestrator","Advanced client network and command behavior is active through the unified network/command services."
"src/EJLive.Client.WinForms/Services/AdvancedRemoteCommandHandler.cs","ReferenceOnlyCovered","NetworkEngine + UnifiedRemoteCommandOrchestrator","Advanced client network and command behavior is active through the unified network/command services."
"src/EJLive.Client.WinForms/Services/CashTelemetryService.cs","ReferenceOnlyCovered","UnifiedJournalEvidenceAnalyzer","Cash and transaction telemetry is active through journal evidence analysis."
"src/EJLive.Client.WinForms/Services/JournalProcessor.cs","ReferenceOnlyCovered","JournalSyncService + JournalOutbox + UnifiedJournalEvidenceAnalyzer","Journal processing and sync behavior is active through compiled sync/outbox/analyzer services."
"src/EJLive.Client.WinForms/Services/JournalSyncAgent.cs","ReferenceOnlyCovered","JournalSyncService + JournalOutbox + UnifiedJournalEvidenceAnalyzer","Journal processing and sync behavior is active through compiled sync/outbox/analyzer services."
"src/EJLive.Client.WinForms/Services/NetworkEngine.cs","ReferenceOnlyCovered","NetworkEngine","Client networking is active through the compiled core NetworkEngine."
"src/EJLive.Client.WinForms/Services/NetworkManager.cs","ReferenceOnlyCovered","NetworkEngine","Client networking is active through the compiled core NetworkEngine."
"src/EJLive.Client.WinForms/Services/RemoteCommandHandler.cs","ReferenceOnlyCovered","UnifiedRemoteCommandOrchestrator","Remote command behavior is active through policy and orchestration services."
"src/EJLive.Client.WinForms/Services/UIBinder.cs","ReferenceOnlyCovered","ClientMainForm","UI binding is active in the rebuilt WinForms main form."
"src/EJLive.Core/Engine/FileWatcherEngine.cs","ReferenceOnlyCovered","OperationalEngines + NetworkEngine + CommunicationProtocol","Engine variants are consolidated into compiled operational engines."
"src/EJLive.Core/Engine/FleetPredictionEngine.cs","ReferenceOnlyCovered","OperationalEngines + NetworkEngine + CommunicationProtocol","Engine variants are consolidated into compiled operational engines."
"src/EJLive.Core/Engine/GhostRemoteEngine.cs","ReferenceOnlyCovered","OperationalEngines + NetworkEngine + CommunicationProtocol","Engine variants are consolidated into compiled operational engines."
"src/EJLive.Core/Engine/ImageSyncEngine.cs","ReferenceOnlyCovered","OperationalEngines + NetworkEngine + CommunicationProtocol","Engine variants are consolidated into compiled operational engines."
"src/EJLive.Core/Engine/JournalSyncTracker.cs","ReferenceOnlyCovered","OperationalEngines + NetworkEngine + CommunicationProtocol","Engine variants are consolidated into compiled operational engines."
"src/EJLive.Core/Engine/Protocol.cs","ReferenceOnlyCovered","OperationalEngines + NetworkEngine + CommunicationProtocol","Engine variants are consolidated into compiled operational engines."
"src/EJLive.Core/Engine/ReportExportEngine.cs","ReferenceOnlyCovered","OperationalEngines + NetworkEngine + CommunicationProtocol","Engine variants are consolidated into compiled operational engines."
"src/EJLive.Core/Engine/ServerEngine.cs","ReferenceOnlyCovered","OperationalEngines + NetworkEngine + CommunicationProtocol","Engine variants are consolidated into compiled operational engines."
"src/EJLive.Core/Engine/TransactionAnalysisEngine.cs","ReferenceOnlyCovered","OperationalEngines + NetworkEngine + CommunicationProtocol","Engine variants are consolidated into compiled operational engines."
"src/EJLive.Core/Models/AnalysisRuntimeModels.cs","ReferenceOnlyCovered","UnifiedModels","Model variants are consolidated into the compiled unified model surface."
"src/EJLive.Core/Models/ATMInfo.cs","ReferenceOnlyCovered","UnifiedModels","Model variants are consolidated into the compiled unified model surface."
"src/EJLive.Core/Models/CompatibilityModels.cs","ReferenceOnlyCovered","UnifiedModels","Model variants are consolidated into the compiled unified model surface."
"src/EJLive.Core/Models/JournalSyncModels.cs","ReferenceOnlyCovered","UnifiedModels","Model variants are consolidated into the compiled unified model surface."
"src/EJLive.Core/Models/MergedTraceModels.cs","ReferenceOnlyCovered","UnifiedModels","Model variants are consolidated into the compiled unified model surface."
"src/EJLive.Core/Models/NcrCapabilityModels.cs","ReferenceOnlyCovered","UnifiedModels","Model variants are consolidated into the compiled unified model surface."
"src/EJLive.Core/Models/NcrConfigCapabilityModels.cs","ReferenceOnlyCovered","UnifiedModels","Model variants are consolidated into the compiled unified model surface."
